,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
173,33,95c3cf0a-47a3-449d-82a0-4178e3aa0e61,2022-03-11T20:52:21.000Z,2022-03-11T21:02:34.000Z,OH-59  Exit 3 / OH-261 Tallmadge Ave,I-77  Exit 124A / Burkhardt Ave,Southbound,10,0.15,0.429,3.04,41.10246485,-81.50002809,41.05909961,-81.50527008,Yes,
174,168,ea000c1b-be01-4a8b-bd8e-d024d9222f36,2022-03-12T04:58:20.000Z,2022-03-12T05:13:42.000Z,US-33,US-33,Eastbound,15,0.659,0.145,5.93,39.51429769,-82.36514721,39.47183652,-82.27373258,No,922
175,322,477a8cfc-934a-4b57-bdac-7df2c20a9e24,2022-03-12T04:53:46.000Z,2022-03-12T05:17:11.000Z,OH-7 / Bone Hollow Rd / CR-3 Leading Creek Rd,OH-7 / Township Road 673 / CR-25 Pomeroy Pike,Northbound,23,0.033,0.13,5.99,39.00730172,-82.06959371,39.05842709,-81.9996669,Yes,
176,138,6fef5ce0-cac8-492e-9d09-64f86776a307,2022-03-12T04:10:24.000Z,2022-03-12T04:19:31.000Z,US-33 / Miller Rd / Titan Rd,US-33 / CR-33A,Westbound,9,0.56,0.287,6.13,39.57516032,-82.52144013,39.65358004,-82.55928001,Yes,
177,96,47d9465e-bcee-4c6d-8cdd-133d47c9957d,2022-03-12T04:44:49.000Z,2022-03-12T04:45:46.000Z,I-80,I-80  Exit 226 / CR-64 Salt Springs Rd,Eastbound,1,0.156,1.262,4.3,41.11693426,-80.80106726,41.13733136,-80.72935004,Yes,
178,153,74efd46f-8a82-43c9-84da-91763dc5cde8,2022-03-12T03:29:27.000Z,2022-03-12T03:52:18.000Z,OH-32,OH-32 / OH-73,Westbound,23,0.809,0,5.61,39.02890334,-83.26753377,38.97587034,-83.33768967,Yes,
179,48,39e9bec3-7fbc-4acb-83f9-f752e29d3d77,2022-03-12T04:51:23.000Z,2022-03-12T04:56:23.000Z,I-70  Exit 126 / OH-37 Lancaster Rd,I-70,Westbound,5,0.472,0.933,5.49,39.94269,-82.53981,39.94689481,-82.64084494,Yes,
180,238,3a5fc711-dc09-48c7-bba5-b014f50768b8,2022-03-11T18:29:37.000Z,2022-03-11T22:37:36.000Z,I-71  Exit 115 / Cooke Rd,I-71  Exit 121 / Polaris Pkwy / OH-750,Northbound,248,0.2,0.114,4.05,40.05272981,-82.99772774,40.10768487,-82.97935941,Yes,
181,124,b5c8f758-76ae-4ad4-abd2-e4a570c0ce1a,2022-03-12T04:09:25.000Z,2022-03-12T04:10:25.000Z,US-33,US-33 / CR-27 Bailey Rd / CR-10 Rockbridge A Rd,Westbound,1,0.849,0.583,4.93,39.54691285,-82.45633816,39.58534699,-82.52823098,Yes,
182,214,a1f32e4b-f455-417a-b022-bbd49b9d24ea,2022-03-11T16:14:29.000Z,2022-03-11T22:52:35.000Z,Us-23 Express Lanes / US-23 High St,US-23 / Creekside Dr / Halfway Ave,Northbound,398,0.677,0.505,3.81,40.12705,-83.01622,40.1817801,-83.02369003,Yes,
183,310,e371ff02-0603-4605-b887-15e5c8f01460,2022-03-12T03:47:26.000Z,2022-03-12T04:07:22.000Z,US-50 / OH-131 / Vera Cruz Rd,US-50 / Locust St,Westbound,20,0.331,0.877,6.25,39.16934074,-83.96698013,39.13557784,-84.07080277,Yes,
184,104,cd0946a6-348a-4b46-aabb-ffe52f353a53,2022-03-11T12:40:56.000Z,2022-03-11T13:08:53.000Z,I-77 / Coventry St,"OH-59  Exits 2,3A / Gorge Blvd / Glenwood Ave",Northbound,28,0,0.601,3.03,41.05032,-81.50528,41.09310514,-81.49934053,Yes,
185,170,b17323c3-de9d-4751-b586-cd2c3139793e,2022-03-12T04:02:24.000Z,2022-03-12T04:25:29.000Z,US-68 / Mccafferty Rd / Gauche Rd,US-68,Southbound,23,0.288,1.02,7.46,39.15637963,-83.93226004,39.05016522,-83.923194,Yes,
186,245,58d423cd-40db-4658-9299-144c9b545fe3,2022-03-12T04:48:18.000Z,2022-03-12T04:51:23.000Z,US-35,US-23,Westbound,3,0.157,0.21,3.76,39.2902866,-82.89572837,39.32874,-82.94575,Yes,
187,40,8303f6e7-5300-422e-b90c-642451a98fa7,2022-03-12T04:52:27.000Z,2022-03-12T05:18:48.000Z,OH-13 Jefferson St / OH-155 Main St / Main St,OH-13 / CR-14 Congo Rd,Northbound,26,0.987,1.166,5.38,39.6025947,-82.08796256,39.65741032,-82.12929047,Yes,
188,223,160ac76c-f2bc-49c1-86c1-9563037e3c34,2022-03-12T04:57:53.000Z,2022-03-12T05:21:45.000Z,US-33 / CR-21 Pleasant Hill Rd,US-33,Southbound,24,1.051,0.947,6.12,39.25549757,-82.08194732,39.17519248,-82.04421888,Yes,
189,370,431976ea-60b7-4d15-9c91-5b427a0d87e3,2022-03-12T04:44:34.000Z,2022-03-12T04:54:29.000Z,US-23 / George Hollow Rd,US-23 / Trego Creek Rd,Northbound,10,0.622,1.054,4.17,39.21226002,-82.98379,39.26784138,-82.96618921,Yes,
190,338,7500d5b9-4284-4e6d-bd56-60efadc2fce9,2022-03-12T04:46:41.000Z,2022-03-12T05:13:08.000Z,US-50 / Chapman Rd / Holly Ln,US-50 / OH-7,Eastbound,26,0.145,0.459,5.7,39.24851349,-81.89546745,39.21385836,-81.81126186,Yes,
191,22,00360031-b33c-4c49-a969-9aa79d0ab2d0,2022-03-12T04:31:49.000Z,2022-03-12T04:46:41.000Z,I-77  Exit 101 / Faircrest St / OH-627 Faircrest St,I-77,Southbound,15,0,0.914,6.93,40.74786,-81.40667,40.65476847,-81.44743707,Yes,
192,154,44487008-1d19-4eb7-9431-dd483f04bfff,2022-03-12T04:08:21.000Z,2022-03-12T04:25:29.000Z,US-35 / Larrick Ln,US-23,Eastbound,17,0.658,0.217,3.98,39.35894507,-83.01206574,39.33832981,-82.94865996,Yes,
193,4,4d6b8fde-39e8-4252-bc91-5866ef0cf5b8,2022-03-12T04:19:31.000Z,2022-03-12T04:40:21.000Z,OH-588 / Bevo Francis Way,Jackson Pike / Carmichael Dr,Eastbound,21,1.011,0,5.81,38.8803,-82.3658,38.84475378,-82.27611277,Yes,
194,331,8b23e3f6-3dc0-4129-b87e-935a97700f6f,2022-03-12T04:42:47.000Z,2022-03-12T04:58:21.000Z,OH-554 / OH-160,OH-160 / Shawnee Ln,Southbound,16,1.045,0.967,5.55,38.92404656,-82.28181385,38.85478007,-82.23986826,Yes,
195,317,b138e4fd-dc2d-4ed0-afdb-d2a8ae3db4fa,2022-03-11T15:14:22.000Z,2022-03-11T21:40:23.000Z,I-71,I-71  Exit 121 / Polaris Pkwy / OH-750,Southbound,386,0.462,0.704,6.24,40.2403739,-82.92870309,40.15758769,-82.96914422,Yes,
196,168,6b0b1aba-f52e-482b-ac1a-95aa53cf1f8f,2022-03-12T04:33:25.000Z,2022-03-12T04:52:27.000Z,US-33,US-33,Eastbound,19,0.619,1.173,5.41,39.67230913,-82.6292684,39.63952,-82.55453,Yes,
197,243,21f85978-b5ae-4474-90dd-710eac9e11dd,2022-03-12T04:35:21.000Z,2022-03-12T04:51:23.000Z,OH-28 / Lovers Ln,OH-28 Main St / Forest Ave,Westbound,16,0,0.969,7.1,39.34665,-83.40956,39.35497678,-83.53715818,Yes,
198,157,157f357e-5c1c-42a1-b945-825104f0ae45,2022-03-11T21:54:23.000Z,2022-03-11T22:24:23.000Z,Worthington Galena Rd,Worthington Rd / Orion Pl / Olde Worthington Rd,Northbound,30,0.624,0,3.01,40.10676564,-83.00105396,40.14001442,-82.9652304,Yes,
199,49,164edf8d-2e10-47ed-9bd0-ea22d8167d8d,2022-03-12T04:58:21.000Z,2022-03-12T05:02:22.000Z,OH-32 / CR-127 Black Hollow Rd,OH-32 / OH-41,Westbound,4,0.852,1.057,4.41,38.97798447,-83.33347574,38.93696903,-83.39394675,Yes,
200,77,3b656887-4e10-4ca8-8fd4-b1aa42f6c77a,2022-03-11T22:27:27.000Z,2022-03-11T22:50:39.000Z,"I-71  Exits 119,119A,119B / I-270  Exit 26",I-270  Exit 20 / CR-70 Sawmill Rd / Sawmill Rd,Northbound,23,0.15,0.962,4.75,40.11096003,-82.98839071,40.10993054,-83.07577332,Yes,
201,346,8de6685a-561e-4b7e-93b1-da2550b1bf5a,2022-03-11T12:58:53.000Z,2022-03-11T13:29:51.000Z,I-77  Exit 123B / OH-764 / Palmetto Ave,OH-8  Exit 1A / Fountain St,Northbound,31,0.336,0.164,1.88,41.04062419,-81.50491674,41.06778028,-81.50411,Yes,
202,78,27d8ff85-2e78-4395-8bf4-dc1bd04ab4cc,2022-03-11T20:19:28.000Z,2022-03-11T20:21:33.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-75  Exit 1E / 7th St,Southbound,2,0,0.106,2.1,39.13322,-84.53272,39.10481997,-84.52918183,No,125
203,78,4004c204-4209-4d43-a7f2-8ac86c7a3d97,2022-03-11T20:56:04.000Z,2022-03-11T20:56:55.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-75  Exit 1E / 7th St,Southbound,1,0,0.106,2.1,39.13322,-84.53272,39.10481997,-84.52918183,No,51
