,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
2707,34,314377c9-8223-46c8-9c28-e18d63d94e95,2022-01-17T12:55:05.000Z,2022-01-17T12:58:58.000Z,OH-21 / Grill Rd,OH-21,Northbound,4,0.499,0.091,5.01,40.98163335,-81.66293834,41.05416039,-81.66210998,Yes,
2708,34,f741823e-a32e-4a99-a88d-5584d919756d,2022-01-17T13:14:59.000Z,2022-01-17T13:21:08.000Z,OH-21,OH-21,Northbound,6,0.894,0.344,5.79,41.02424198,-81.66525943,41.10590745,-81.65578364,Yes,
2709,820,db48f624-7889-4583-b53f-ab40b4cde62b,2022-01-17T04:24:32.000Z,2022-01-17T05:20:31.000Z,OH-73 / CR-89 Airborne Rd,OH-73 South St / Baker Dr,Eastbound,56,0.897,0.205,9.31,39.44037556,-83.76812474,39.32115,-83.6927,Yes,
2710,822,b25f1d77-fecb-44a4-8110-45d52b54f91c,2022-01-17T11:48:50.000Z,2022-01-17T11:52:29.000Z,US-62 Liberty St / US-62 Market St / OH-586 Market St,US-62 / US-62 Johnstown-Utica Rd / Lafayette Rd,Southbound,4,0.127,0.493,11.43,40.26999,-82.35401,40.2202436,-82.54192733,Yes,
2711,2261,b912cccc-6e9c-4cf5-b638-a1aadbbb081b,2022-01-17T16:25:00.000Z,2022-01-17T16:59:58.000Z,OH-534,US-6 / OH-534,Southbound,35,0,0,10.95,41.76132464,-80.9413883,41.60809236,-80.95317083,Yes,
2712,2208,79dd715b-28af-4c8f-92b8-e8ef4fa18cb2,2022-01-17T12:33:31.000Z,2022-01-17T12:35:37.000Z,US-52 / US-52 Gallia St,CR-503 Ohio River Rd / Duis St,Eastbound,2,0,0,4.42,38.75456,-82.92466,38.73237,-82.85955,Yes,
2713,822,b6413019-3065-414b-a06d-d55bb1a99e7a,2022-01-17T11:40:36.000Z,2022-01-17T11:44:43.000Z,US-62 Liberty St / US-62 Market St / OH-586 Market St,US-62 / US-62 Johnstown-Utica Rd / Lafayette Rd,Southbound,4,0.127,0.164,11.11,40.26999,-82.35401,40.22256545,-82.53818562,Yes,
2714,466,0c1af5e4-448f-4e13-9480-ddc784f52ba6,2022-01-17T07:38:30.000Z,2022-01-17T07:42:41.000Z,US-35 / OH-835 Woodman Dr / Woodman Dr,US-35 / Perry St / Zeigler St,Westbound,4,0.188,0.137,3.36,39.74597039,-84.1207114,39.75329082,-84.18142507,Yes,
2715,2287,842153b3-f20d-49fe-a136-0d4cbe96f92d,2022-01-17T12:43:56.000Z,2022-01-17T13:06:54.000Z,OH-7 / Old State Route 7 / Mcgee Rd,OH-7 / CR-32 Kilgore Rd,Northbound,23,0.998,0.265,5.86,39.97012298,-80.7432382,40.0531801,-80.7334431,Yes,
2716,453,94c25f05-2c68-4cf0-aa0f-47102836d0c7,2022-01-17T09:45:52.000Z,2022-01-17T10:14:54.000Z,I-70  Exit 5A / I-470,I-70  Exit 219 / I-470  Exit 1 / Banfield Rd,Westbound,29,0.353,0.299,9.28,40.04872741,-80.69018761,40.06955,-80.85144998,Yes,
2717,13,08406506-7365-44a1-b528-8befb487cd18,2022-01-17T06:33:47.000Z,2022-01-17T08:11:34.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St","I-70  Exits 107,107A,107B / OH-317 Hamilton Rd",Eastbound,98,0,1.332,6.28,39.95435,-82.98651,39.93589592,-82.88645884,Yes,
2718,847,f6218d0f-2e97-41cb-9672-7ba930805539,2022-01-17T04:40:00.000Z,2022-01-17T04:42:00.000Z,I-80  Exit 173 / I-77  Exit 146 / OH-21,I-77  Exit 157 / Crossover / Sr-21,Northbound,2,0,0.162,8.6,41.27879,-81.63611,41.40070074,-81.65073593,No,120
2719,2108,0a00b011-426f-4f07-99aa-938df87b4d83,2022-01-17T04:37:29.000Z,2022-01-17T05:03:34.000Z,OH-100,OH-100 Sandusky Ave / OH-4 / OH-19,Southbound,26,0.305,0,7.36,40.92124001,-83.01953383,40.83413206,-82.97362849,Yes,
2720,2353,29fbc063-ef2c-4062-87c0-2ad1be66aef9,2022-01-17T12:26:48.000Z,2022-01-17T13:35:37.000Z,US-23 Summit St / 7th Ave,US-33 3rd St,Southbound,69,0.012,0.028,2.27,39.99002,-83.00183,39.95738999,-82.997,Yes,
2721,451,35c69fda-8fb5-4d7a-887f-dfefd1208396,2022-01-17T13:11:15.000Z,2022-01-17T13:31:58.000Z,I-80  Exit 226 / CR-64 Salt Springs Rd,I-80,Eastbound,21,1.464,0.849,6.77,41.13989,-80.72412,41.16508136,-80.60552175,Yes,
2722,1125,2bd43340-498b-4ea2-bf17-f5cb3d861a7e,2022-01-17T12:36:01.000Z,2022-01-17T12:51:04.000Z,I-70  Exit 160 / CR-52 Sonora Rd,I-70  Exit 152 / US-40 National Rd / US-40 Main St,Westbound,15,0.324,1.132,7.9,39.96755856,-81.90049816,39.94831729,-82.04138212,No,903
2723,4258,af977240-259d-4f15-a604-53a6987a8126,2022-01-17T12:13:33.000Z,2022-01-17T12:47:48.000Z,US-42 / OH-29,OH-29 / CR-197 Rosedale Rd,Westbound,34,1.087,0.96,11.82,39.96776919,-83.36492,40.06483201,-83.54746355,Yes,
2724,4254,2ff97778-ac8b-45b2-a89f-dd3106fe9b69,2022-01-17T13:53:05.000Z,2022-01-17T14:43:07.000Z,US-22,US-22 / Lovers Ln,Eastbound,50,0.347,0.379,10.22,40.32883229,-80.87395542,40.39215877,-80.71548649,Yes,
2725,2104,639470cd-6c25-4175-a33c-f9e0f6c5cb42,2022-01-17T12:10:57.000Z,2022-01-17T13:06:53.000Z,OH-7 / Railroad Ave / Hermenia Ave,OH-7 / Dan Dee Ln / Lagrange St,Southbound,56,1.203,0.471,6.44,40.34975,-80.61936,40.26372617,-80.62416466,Yes,
2726,4247,f8078ac0-d5f4-4deb-bc60-55e32357426e,2022-01-17T10:37:29.000Z,2022-01-17T11:01:30.000Z,I-71,I-71  Exit 165 / OH-97,Southbound,24,0.836,0.354,10.09,40.77230486,-82.42033589,40.65869991,-82.54056005,Yes,
2727,1791,3077b845-6c6a-4989-b312-11e0a8c60387,2022-01-17T11:54:01.000Z,2022-01-17T12:09:01.000Z,OH-7 / OH-807,OH-7 / Commerce Dr,Southbound,15,0.068,0,9.35,39.39109377,-81.21619142,39.34749162,-81.37429915,Yes,
2728,3,2b146ae5-e56a-4bc8-b70d-4aec0a16c20a,2022-01-17T04:53:57.000Z,2022-01-17T05:00:56.000Z,I-90  Exit 195 / OH-615 Center St,I-90,Eastbound,7,0.559,0.067,8.74,41.64763,-81.32420978,41.70667037,-81.17867939,No,419
2729,1871,38598f58-9bcc-4f00-9ec7-1d79d27dab5e,2022-01-17T12:33:30.000Z,2022-01-17T13:08:29.000Z,US-35 / Plum Rd,US-35,Westbound,35,0.778,0.735,8.67,38.94234353,-82.47367353,39.02683989,-82.58721639,Yes,
2730,849,4e12d62d-87bd-48c9-969a-39d0f7f27caf,2022-01-17T09:51:58.000Z,2022-01-17T09:53:49.000Z,I-77  Exit 81 / US-250 / US-250-BR High Ave,OH-800,Eastbound,2,0.794,0.262,7.56,40.49861,-81.48021,40.43440992,-81.37146989,Yes,
2731,478,13b7172c-6ec4-40e1-b608-d9c50d01037f,2022-01-17T04:00:28.000Z,2022-01-17T04:28:28.000Z,I-80,I-80,Westbound,28,0.625,1.076,11.14,41.33140801,-82.66117158,41.35381052,-82.87558013,Yes,
2732,4819,908a6f4c-247f-484c-a5f6-9293704b64bd,2022-01-17T10:47:34.000Z,2022-01-17T12:10:37.000Z,OH-229 / CR-194,OH-229 Noble St / OH-229 Main St / Main St,Westbound,83,0.889,0,7.64,40.39862972,-82.66594266,40.40221,-82.81084,Yes,
2733,4218,9e863b1a-0e7f-470a-b8e6-327ee7eb16ae,2022-01-17T11:03:57.000Z,2022-01-17T11:05:01.000Z,US-62 Atlantic Blvd / US-62 State St / US-62,US-62 Atlantic Blvd / US-62 Columbus Rd / Columbus Rd,Westbound,1,0,0,10.14,40.90215,-81.17017,40.83415789,-81.33971649,No,64
2734,849,ebff6da7-5513-410c-9a4a-5b0666b3ee3d,2022-01-17T13:59:59.000Z,2022-01-17T14:08:55.000Z,US-250,OH-800,Eastbound,9,0.654,0.262,6.34,40.48685473,-81.46788495,40.43440992,-81.37146989,Yes,
